rule,course_id,code,title,description
1_placeholder,124316,BIOPHYS 801,TGR Project,
1_placeholder,124317,BIOPHYS 802,TGR Dissertation,
1_placeholder,124813,SOC 393,Teaching Apprenticeship,
1_placeholder,124822,SOC 802,TGR Dissertation,
1_placeholder,125319,TAPS 802,TGR Dissertation,(Staff)
1_placeholder,125415,STATS 199,Independent Study,For undergraduates.
1_placeholder,125572,STATS 801,TGR Project,
1_placeholder,125573,STATS 802,TGR Dissertation,
1_placeholder,126105,COMPLIT 194,Independent Research,(Staff)
1_placeholder,126357,CSRE 200W,Directed Reading,
1_placeholder,127246,CBIO 802,TGR Dissertation,
1_placeholder,127294,SBIO 801,TGR Project,
1_placeholder,127295,SBIO 802,TGR Dissertation,
1_placeholder,127344,BIOC 802,TGR Dissertation,
1_placeholder,127360,DBIO 802,TGR Dissertation,
1_placeholder,127400,GENE 801,TGR Project,
1_placeholder,127401,GENE 802,TGR Dissertation,
1_placeholder,127483,MI 801,TGR Master's Project,
1_placeholder,127484,MI 802,TGR PhD Dissertation,
1_placeholder,127527,CSB 801,TGR Project,
1_placeholder,127528,CSB 802,TGR Dissertation,
1_placeholder,127586,MCP 802,TGR Dissertation,
1_placeholder,128381,PSYC 802,TGR Dissertation,TGR Dissertation
1_placeholder,128580,RADO 101,Readings in Radiation Biology,
1_placeholder,128834,IMMUNOL 801,TGR Project,
1_placeholder,128835,IMMUNOL 802,TGR Dissertation,
1_placeholder,128861,NEPR 801,TGR Project,
1_placeholder,128862,NEPR 802,TGR Dissertation,
1_placeholder,129121,EARTHSYS 299,M.S. Thesis,M.S. Thesis
1_placeholder,129137,GEOPHYS 100,Directed Reading,(Staff)
